Mode,Time
Control,1867.0
Control,1312.0
Control,1389.0
Control,3664.0
Control,4259.0
Control,1560.0
,
Control,1510.0
Experiment,3250.0
Experiment,6241.0
Experiment,4177.0
Experiment,3080.0
Experiment,2370.0
Experiment,1743.0
Control,8868.0
Control,1270.0
Experiment,1038.0
Experiment,5507.0
Experiment,4064.0
Control,1893.0
Control,1948.0
Experiment,2923.0
Experiment,2979.0
Control,884.0
Control,3131.0
Experiment,1035.0
Control,3881.0
Control,1836.0
Control,261.0
Experiment,1864.0
Experiment,1517.0
Experiment,3902.0
Experiment,3150.0
Experiment,1918.0
Control,4301.0
Experiment,960.0
Experiment,5991.0
Experiment,1487.0
Experiment,141.0
Experiment,1054.0
,
Control,9076.0
Experiment,2206.0
Control,6738.0
Control,638.0
Control,2168.0
Experiment,1910.0
,
Control,284.0
Control,80.0
,
Control,3417.0
Control,3025.0
Experiment,3287.0
Experiment,2610.0
Control,2909.0
Experiment,3877.0
Experiment,4589.0
Experiment,2297.0
Experiment,1804.0
Control,2894.0
Control,3655.0
Experiment,3668.0
,
Control,3499.0
Experiment,1655.0
Control,1228.0
Control,3224.0
Control,2347.0
Control,4384.0
Experiment,1485.0
Control,3049.0
Control,2188.0
Experiment,2466.0
Control,658.0
Experiment,3508.0
Control,3209.0
Experiment,3748.0
Experiment,1803.0
Experiment,8501.0
Control,811.0
Experiment,3413.0
Control,2441.0
Control,2635.0
Experiment,377.0
,
Experiment,4217.0
Control,2143.0
Control,3545.0
Experiment,2992.0
Experiment,4926.0
Control,1743.0
Control,4468.0
Control,3153.0
Experiment,2698.0
Experiment,1171.0
Experiment,2657.0
Experiment,4478.0
Experiment,690.0
Experiment,2693.0
,
Control,1358.0
Experiment,2112.0
Control,1926.0
Experiment,1103.0
Experiment,2254.0
Control,1964.0
Experiment,1528.0
Experiment,1239.0
Control,2156.0
Control,2136.0
Control,1847.0
Experiment,2662.0
Experiment,6451.0
Control,3081.0
Control,3449.0
Control,8752.0
Control,4600.0
Experiment,5383.0
Control,1011.0
Experiment,1295.0
Control,1257.0
Experiment,1796.0
Experiment,2561.0
Control,1414.0
Experiment,2892.0
Control,1521.0
Control,4545.0
Control,17972.0
,
Experiment,3405.0
Control,2109.0
Experiment,31266.0
Control,4636.0
Experiment,4102.0
Experiment,3497.0
Experiment,2824.0
Experiment,1105.0
Experiment,3142.0
Experiment,2686.0
Experiment,1245.0
Experiment,3861.0
Control,909.0
Control,3371.0
Experiment,7406.0
Control,2301.0
Control,4679.0
Experiment,9205.0
Control,2994.0
Experiment,1411.0
Control,1800.0
Control,243.0
Control,3872.0
,
Experiment,1081.0
Experiment,2139.0
Control,6279.0
Control,968.0
Experiment,2468.0
Control,4146.0
Control,2727.0
Experiment,140.0
Control,2216.0
Experiment,1514.0
Control,916.0
Control,1472.0
Experiment,2595.0
Experiment,1047.0
Experiment,8066.0
Control,143.0
Control,3984.0
Experiment,2607.0
,
Experiment,4834.0
Control,2626.0
,
Experiment,3436.0
Control,4872.0
Experiment,2617.0
Control,2540.0
Experiment,4956.0
Experiment,996.0
,
Experiment,1108.0
Experiment,2056.0
Control,1015.0
Experiment,3694.0
Control,981.0
Experiment,3279.0
,
Control,1995.0
Experiment,1362.0
Experiment,1229.0
Experiment,2228.0
Experiment,1650.0
Experiment,447.0
Control,2213.0
Control,1321.0
Control,5058.0
Control,1258.0
,
Experiment,1229.0
Control,6410.0
Experiment,29279.0
Experiment,939.0
Experiment,2698.0
Experiment,777.0
Control,1837.0
Experiment,773.0
Experiment,3212.0
Control,3958.0
Experiment,3145.0
Control,1261.0
Control,1498.0
Control,1935.0
Control,4030.0
Control,2176.0
Control,2439.0
Experiment,2514.0
,
Control,5058.0
Experiment,1403.0
Control,378.0
Experiment,3798.0
Control,1445.0
Control,7554.0
Control,2439.0
Control,2679.0
Control,2504.0
Control,2526.0
Control,2267.0
Control,1533.0
Control,4045.0
Experiment,13702.0
Control,4352.0
Experiment,2384.0
Experiment,1994.0
Experiment,4201.0
Control,3320.0
,
Experiment,1240.0
Control,9856.0
Control,12196.0
Control,2288.0
Experiment,8076.0
Experiment,1347.0
Experiment,2630.0
,
Control,1563.0
Control,2556.0
Control,2454.0
,
,
Control,2448.0
Control,2257.0
Control,1756.0
Experiment,7533.0
Experiment,646.0
,
Control,1586.0
Control,1728.0
Experiment,2744.0
Experiment,6813.0
,
Experiment,2296.0
Experiment,1212.0
,
Experiment,2152.0
Control,293.0
Control,3861.0
Experiment,3554.0
Control,888.0
Experiment,1345.0
Control,5777.0
Experiment,2368.0
Experiment,2223.0
Experiment,2412.0
Control,3224.0
Control,3829.0
,
Control,2444.0
Control,1365.0
Control,4835.0
Control,157.0
Control,241.0
Control,2531.0
Experiment,6355.0
Control,2471.0
Experiment,2433.0
Experiment,1872.0
Experiment,584.0
Control,5831.0
,
Control,2810.0
Control,1935.0
Experiment,4679.0
Experiment,1532.0
Experiment,4920.0
Control,6485.0
Control,1457.0
Control,1166.0
Control,3045.0
Control,1551.0
Control,1146.0
Control,3061.0
Experiment,3869.0
Control,2809.0
Experiment,1486.0
,
Control,2416.0
Control,1971.0
Experiment,2198.0
Experiment,3509.0
Experiment,2706.0
Control,2864.0
Experiment,1663.0
Experiment,1094.0
Experiment,2197.0
Control,1523.0
Experiment,3655.0
Experiment,2300.0
Experiment,271.0
Experiment,6161.0
Control,1554.0
Experiment,1103.0
Control,1126.0
Experiment,2421.0
Experiment,1112.0
Control,1437.0
Control,5851.0
Experiment,5559.0
Control,1267.0
Experiment,1878.0
Experiment,3816.0
Experiment,187.0
Experiment,2388.0
Experiment,900.0
Experiment,8522.0
Experiment,1459.0
Experiment,1926.0
Experiment,5461.0
Control,5521.0
Control,2424.0
Experiment,2286.0
Control,860.0
Experiment,2055.0
Experiment,2243.0
Control,2469.0
Control,1583.0
Experiment,2618.0
Experiment,2071.0
Experiment,1124.0
Control,1894.0
Control,2301.0
Control,1099.0
Control,3320.0
Control,1977.0
Control,6223.0
Experiment,8772.0
Experiment,1013.0
Experiment,2291.0
Control,2503.0
Experiment,5198.0
Control,1569.0
Experiment,1772.0
,
Control,7530.0
,
Control,241.0
Experiment,1611.0
Control,5897.0
Experiment,3576.0
Control,3422.0
Experiment,2115.0
,
Control,2410.0
,
Control,2620.0
Experiment,1249.0
Control,2257.0
Experiment,8805.0
Control,1990.0
Experiment,2679.0
Control,3326.0
Control,1527.0
Control,161.0
Experiment,4085.0
Control,2468.0
Control,1535.0
Control,6799.0
Control,2320.0
Control,4203.0
Experiment,1647.0
Experiment,229.0
Control,2490.0
Experiment,4036.0
Experiment,1210.0
Experiment,2656.0
Experiment,5371.0
Experiment,3011.0
Control,1618.0
Control,5851.0
Experiment,17317.0
Control,1522.0
Experiment,1017.0
Control,3078.0
Experiment,102.0
Control,1369.0
Control,1311.0
Experiment,1380.0
Experiment,9352.0
Control,1495.0
Control,2487.0
Experiment,1602.0
Experiment,2192.0
Experiment,2903.0
Control,7147.0
Control,1792.0
Experiment,1427.0
Control,3213.0
Control,3295.0
Control,3069.0
Control,2591.0
Control,1480.0
Control,1539.0
Experiment,2887.0
Control,5036.0
Control,7608.0
Control,10481.0
