Time,Count
2022-01-01,728.8218064814815
2022-01-02,785.1639216666667
2022-01-03,776.6557155555556
2022-01-04,767.4510540740741
2022-01-05,753.7392681481482
2022-01-06,779.0919892592593
2022-01-07,774.9901837037038
2022-01-08,790.7757727777779
2022-01-09,795.0857066666667
2022-01-10,794.3695327777779
2022-01-11,727.72
2022-01-12,750.96
2022-01-13,749.0
2022-01-14,739.76
2022-01-15,823.083333
2022-01-16,891.625
2022-01-17,758.333333
2022-01-18,670.6
2022-01-19,713.708333
2022-01-20,705.541667
2022-01-21,693.875
2022-01-22,706.416667
2022-01-23,743.4
2022-01-24,743.217391
2022-01-25,750.8938646296295
2022-01-26,768.9352985185185
2022-01-27,743.3990403703704
2022-01-28,729.3636144444445
2022-01-29,744.4268007407408
2022-01-30,747.0788212962963
2022-01-31,761.2695853703704
2022-02-01,734.396475925926
2022-02-02,729.0117894444445
2022-02-03,753.2230281481482
2022-02-04,727.5365750000001
2022-02-05,736.0934698148147
2022-02-06,764.8187622222223
2022-02-07,772.2176612962963
2022-02-08,755.3239481481482
2022-02-09,735.4445418518518
2022-02-10,727.2880477777777
2022-02-11,732.8302012962962
2022-02-12,742.8497548148148
2022-02-13,748.7320081481481
2022-02-14,723.9082931481481
2022-02-15,732.9848333333333
2022-02-16,730.2018611111112
2022-02-17,736.399920925926
2022-02-18,724.5813644444445
2022-02-19,717.8281099999999
2022-02-20,756.545915
