Time,Count
2022-01-01,702.0147635185186
2022-01-02,773.2964061111111
2022-01-03,782.4241585185185
2022-01-04,779.3985953703703
2022-01-05,761.570747962963
2022-01-06,740.6123048148148
2022-01-07,711.672537962963
2022-01-08,744.0401418518519
2022-01-09,774.7138798148147
2022-01-10,773.0830187037037
2022-01-11,342.72
2022-01-12,346.36
2022-01-13,368.083333
2022-01-14,353.08
2022-01-15,411.25
2022-01-16,441.583333
2022-01-17,365.166667
2022-01-18,306.6
2022-01-19,343.0
2022-01-20,343.291667
2022-01-21,335.708333
2022-01-22,359.333333
2022-01-23,351.68
2022-01-24,347.565217
2022-01-25,741.5770103703704
2022-01-26,704.7353490740741
2022-01-27,702.7216922222223
2022-01-28,697.6422592592593
2022-01-29,712.7394953703704
2022-01-30,709.5255914814815
2022-01-31,714.4825938888889
2022-02-01,698.7226857407408
2022-02-02,674.2449416666667
2022-02-03,684.9141979629629
2022-02-04,693.158757037037
2022-02-05,673.8956357407407
2022-02-06,705.6913937037036
2022-02-07,712.4019290740741
2022-02-08,689.092338888889
2022-02-09,674.5124211111112
2022-02-10,687.249424074074
2022-02-11,668.479960925926
2022-02-12,682.9985157407408
2022-02-13,688.9435461111111
2022-02-14,695.615947037037
2022-02-15,700.4120446296297
2022-02-16,706.1245525925926
2022-02-17,702.0441383333333
2022-02-18,699.4901472222223
2022-02-19,714.6344746296297
2022-02-20,718.477175925926
